,Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
116,Data Analyst,Brown University,"Providence, RI","$59,843 /yr (est.)",4.4,"Job Description:
The School of Engineering is seeking an enthusiastic and skilled Data Analyst.
The Data Analyst will develop and validate MATLAB codes for image and data analysis in the Lee Lab in the School of Engineering at Brown University. At the intersection of medical photonics, neural engineering, and artificial intelligence, the Lee Lab develops novel technologies for label-free imaging and genetics-free modulation of biological systems, under clear targets of clinical application; including a software algorithm of predicting chemotherapy effects in individual patients and a laser goggle making blind people see again. The Data Analyst will work with the principal investigator and six doctoral students on their research and development projects supported by the National Cancer Institute (NCI), National Eye Institute (NEI), and National Institute on Aging (NIA).
Brown University provides equal opportunity and prohibits discrimination, harassment and retaliation based upon a person’s race, color, religion, sex, age, national or ethnic origin, disability, veteran status, sexual orientation, gender identity, gender expression, or any other characteristic protected under applicable law, in the administration of its policies, programs, and activities. The University recognizes and rewards individuals on the basis of qualifications and performance.
2022-04-05-07:00
Data Analyst
School of Engineering
Grade 9
Employee
Fixed Term (Fixed Term)
Full time
37.5
Onsite",1001 to 5000 Employees,1764,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
117,Analyst,IQVIA,Remote,"$59,843 /yr (est.)",3.9,"Job Overview
Provides high quality, timely development and on-time input to solutions for service delivery, managed services, or implementation oriented client projects. Assignments typically require basic analysis and problem solving with an emphasis on meeting IQVIA services/delivery commitments to clients. Contributes to meeting client satisfaction objectives.
Essential Functions
Assists with the review and analysis of client requirements/problems.
Develops detailed documentation and specifications.
Performs basic quantitative or qualitative analyses to identify issues and develop solutions.
Assists Analysts and Consultants in design and structures of presentations.",10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
118,Associate Data Scientist,EAB,Remote,"$59,843 /yr (est.)",3.9,"#LI-Remote
About EAB
At EAB, our mission is to make education smarter and our communities stronger. We work with more than 2,500 institutions to drive transformative change through data-driven insights and best-in-class capabilities. From kindergarten to college to career, EAB partners with leaders and practitioners to accelerate progress and drive results across five major areas: enrollment, student success, institutional strategy, data & analytics, and diversity, equity, and inclusion (DE&I). We work with each partner differently, tailoring our portfolio of research, technology, and marketing and enrollment solutions to meet the unique needs of every leadership team, as well as the students and employees they serve.
At EAB, we serve not only our partner institutions but each other—that's why we are always working to make sure our employees love their jobs and are invested in their communities. See how we've been recognized for this dedication to our employees by checking out our recent awards.",1001 to 5000 Employees,2007,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable
119,Applied Machine Learning Scientist,Penguin Random House LLC,"New York, NY","$89,037 /yr (est.)",3.9,"Penguin Random House is the leading adult and children's publishing house in North America, the United Kingdom, and many other regions worldwide. In publishing the best books in every genre and subject for all ages, we are committed to quality, excellence in execution, and innovation throughout the entire publishing process: editorial, design, marketing, publicity, sales, production, and distribution. With the proliferation of data and the fast-changing dynamics within the publishing industry, data science and AI tools are vital to our business.

The Data Science team at Penguin Random House is seeking an Applied Machine Learning Scientist. We are an agile team of data scientists and software engineers. Data science at PRH truly runs the gamut, encompassing pricing systems, sales forecasting recommender/personalization systems, title segmentation, supply chain, ad-hoc analysis, and data exploration. The data science team is drawn from various disciplines and backgrounds; the group is well resourced and supported by data warehousing/engineering and DevOps functions.",1001 to 5000 Employees,2013,Company - Private,Publishing,Media & Communication,$1 to $2 billion (USD)
120,Data Science / Business Intelligence / Informatics,Humana,"Boston, MA","$89,037 /yr (est.)",4.0,"Humana uses analytics, mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. Our Data Science, Business Intelligence and Informatics work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action. This requisition does not reflect an actual opening, but will be used to collect information and resumes from participants in the Humana-Mays Healthcare Analytics Competition.
Responsibilities
Humana has a wide variety of opportunities focused on data and analytics. Some jobs develop, maintain, and collect structured and unstructured data sets for analysis and reporting. Other responsibilities could include Creating reports, projections, models, and presentations to support business strategy and tactics. You'll develop department, segment, and organizational strategy and operating objectives, including their linkages to related areas. You'll have the opportunity to make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Our wide variety of Analytics/Data Science/Business Intelligence and Informatics jobs reflect a wide variety of specific responsibilities and require a variety of experiences and skillsets based upon the specific position. Positions could be located in Louisville, KY, Boston, MA, Dallas, TX or Chicago, IL
40",10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
121,"Data Scientist, Spotify For Artists",Spotify,"New York, NY","$106,932 /yr (est.)",4.2,"Data, Research & Insights
Data Science
Spotify for Artists is the destination for artists and their teams to understand their fans and reach their goals. We give artists the insights and tools they need to connect with their fans and establish a meaningful career on their own terms.
Location
New York or Remote Americas
Job type
Permanent",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
122,"Marketing Technology Data Engineer (Open to remote work, except the following locations: SD, VT, and WV)",Converse,"Boston, MA","$115,000 /yr (est.)",4.1,"Become part of the Converse Team
Converse is a place to explore potential, break barriers and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At Converse, it’s about each person bringing skills and passion to a challenging and constantly evolving world to make things better as a team.
We Need Someone Who Speaks Computer
Computers have their own language. Which most of us don’t speak. But you do. And we need your fluency. Let’s face it. The modern world is shackled to computers so we need experts like yourself to keep us running. So come join our crew. You don’t have to call yourself The Computer Whisperer but we might.",1001 to 5000 Employees,1908,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$2 to $5 billion (USD)
123,Data Science Trainee,Axle Informatics,"Rockville, MD","$87,202 /yr (est.)",3.0,"Overview:
Axle Informatics is a bioinformatics and information technology company that offers innovative computer services, informatics, and enterprise solutions to research centers and healthcare organizations around the globe. With experts in software engineering, bioinformatics and program management, we focus on developing and applying technology tools and techniques to empower decision-making and accelerate the discovery in translational research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of health (NIH).

Overview
Axle is seeking a highly ambitious, adaptable, structured, and detail oriented Data Science Trainee to join our vibrant team.

Responsibilities",1 to 50 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
124,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA","$88,607 /yr (est.)",3.8,"Job Posting
: Jun 23, 2022
Job Posting End Date
: Aug 23, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
125,decision scientist (multiple openings) - Remote,Starbucks,"Seattle, WA","$67,515 /yr (est.)",3.8,"Job Posting
: Jun 23, 2022
Job Posting End Date
: Aug 23, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
126,Data Scientist I,Memorial Sloan Kettering Cancer Center,"New York, NY","$101,786 /yr (est.)",4.0,"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes. We’re treating cancer, one patient at a time. Join us and make a difference every day.

In compliance with applicable New York and New Jersey State regulatory authorities, COVID-19 vaccination (2 doses of either the Pfizer or Moderna vaccine or one dose of the Johnson & Johnson vaccine) is mandatory for all MSK employees, contingent workers, and volunteers. Exceptions are permitted for those employees who request and receive an approved medical or fully remote exemption.

Staff working at a MSK New Jersey location must be up to date with COVID-19 vaccination, which includes having completed the primary COVID-19 vaccination series and booster once eligible as mandated by New Jersey State. All New Jersey staff not yet eligible for a booster must receive a booster within 3 weeks of becoming eligible as a condition of continued employment at MSK.

Job Description:




Closing:",10000+ Employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD)
127,Junior Data Scientist,JCPenney,"Plano, TX","$77,587 /yr (est.)",3.4,"Location: Plano, TX, United States -
Job ID: 1109493
Corporate Positions
Technology
Job Type: Full-Time
Date Updated: Jun 16, 2022
Junior Data Scientist

We are looking for Junior Data Scientist to join our growing Digital team focused on building transformational capabilities to support our 120-year-old brand. Under direct supervision of the Distinguished Data Scientist, this position will assist in data mining and optimization techniques to build and tune models to deliver long-term data science solutions.







We offer a competitive benefits package including medical/dental/vision, term life insurance, paid vacation/holidays, 401(k) Savings Plan with company match, and an associate discount on JCPenney merchandise.



JCPenney is the shopping destination for diverse, working American families. With inclusivity at its core, the Company's product assortment meets customers' everyday needs and helps them commemorate every special occasion with style, quality and value. JCPenney offers a broad portfolio of fashion, apparel, home, beauty and jewelry from national and private brands and provides personal services including salon, portrait and optical. The Company and its 50,000 associates worldwide serve customers where, when and how they want to shop - from jcp.com to more than 650 stores in the U.S. and Puerto Rico. In 2022, JCPenney celebrates 120 years as an iconic American brand by continuing its legacy of connecting with customers through shopping and community engagement. Please visit JCPenney's Newsroom to learn more and follow JCPenney on Facebook, Instagram, Twitter and LinkedIn.

For more opportunities to join our team please visit our careers page.",10000+ Employees,1902,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $2 billion (USD)
128,Data Scientist (Junior),BDSA,"Louisville, CO","$100,000 /yr (est.)",1.4,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.
This is a fast-paced environment with a variety of challenges, many of which are driven by external factors. If you're excited to work on new projects, constantly find ways to overcome obstacles, and find joy in solving problems than this may be the job for you. As a junior data scientist, you'll work under the direction of senior team members and be expected to rapidly learn new tools and techniques. While work will be guided by more seasoned team members, your intellect, technical skills, and creativity will be highly valued and there is room for advancement.",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
129,Junior Java Developer,Talentheed Inc,Remote,"$76,663 /yr (est.)",-1,"Responsibilities:
Design, implement and maintain java application phases
To take part in software and architectural development activities
Conduct software analysis, programming, testing and debugging
Identifying production and non-production application issues
Transforming requirements into stipulations
Develop, test, implement and maintain application software
Recommend changes to improve established java application processes
Develop technical designs for application development",-1,-1,-1,-1,-1,-1
130,Data Analyst,Brown University,"Providence, RI","$59,843 /yr (est.)",4.4,"Job Description:
The School of Engineering is seeking an enthusiastic and skilled Data Analyst.
The Data Analyst will develop and validate MATLAB codes for image and data analysis in the Lee Lab in the School of Engineering at Brown University. At the intersection of medical photonics, neural engineering, and artificial intelligence, the Lee Lab develops novel technologies for label-free imaging and genetics-free modulation of biological systems, under clear targets of clinical application; including a software algorithm of predicting chemotherapy effects in individual patients and a laser goggle making blind people see again. The Data Analyst will work with the principal investigator and six doctoral students on their research and development projects supported by the National Cancer Institute (NCI), National Eye Institute (NEI), and National Institute on Aging (NIA).
Brown University provides equal opportunity and prohibits discrimination, harassment and retaliation based upon a person’s race, color, religion, sex, age, national or ethnic origin, disability, veteran status, sexual orientation, gender identity, gender expression, or any other characteristic protected under applicable law, in the administration of its policies, programs, and activities. The University recognizes and rewards individuals on the basis of qualifications and performance.
2022-04-05-07:00
Data Analyst
School of Engineering
Grade 9
Employee
Fixed Term (Fixed Term)
Full time
37.5
Onsite",1001 to 5000 Employees,1764,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
131,Data Analyst,The Trustees of Tufts College,"Boston, MA","$57,945 /yr (est.)",4.4,"Overview:
This is a grant funded position and is not eligible for severance pay.

The Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy at Tufts University receives grants and contracts to conduct research on a range international projects and programs. Dr. Shibani Ghosh will implement two (2) studies focused on understanding how different interventions impact the diet and overall nutritional well-being of populations in the Global South, specifically women of reproductive age and children under-5. One study will be primarily implemented in Jordan and the other is ongoing in the north of Uganda. The project is managed in collaboration with partners based globally while the core research team works from the headquarters in Boston, MA under the direction of Dr. Ghosh.
What You'll Do:



What We're Looking For:",1001 to 5000 Employees,1852,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
132,Associate Data Scientist,EAB,Remote,"$57,945 /yr (est.)",3.9,"#LI-Remote
About EAB
At EAB, our mission is to make education smarter and our communities stronger. We work with more than 2,500 institutions to drive transformative change through data-driven insights and best-in-class capabilities. From kindergarten to college to career, EAB partners with leaders and practitioners to accelerate progress and drive results across five major areas: enrollment, student success, institutional strategy, data & analytics, and diversity, equity, and inclusion (DE&I). We work with each partner differently, tailoring our portfolio of research, technology, and marketing and enrollment solutions to meet the unique needs of every leadership team, as well as the students and employees they serve.
At EAB, we serve not only our partner institutions but each other—that's why we are always working to make sure our employees love their jobs and are invested in their communities. See how we've been recognized for this dedication to our employees by checking out our recent awards.",1001 to 5000 Employees,2007,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable
133,Data Analyst,Hulu,"Santa Monica, CA","$87,765 /yr (est.)",3.9,"We are seeking a Data Analyst who will focus on analyzing subscriber retention and engagement. Collaborating across marketing, product, data engineering, data science and business teams, this position will design and implement reporting that enables internal clients to access, explore and monitor data, as well as perform analysis and share underlying trends and insights to help teams have a better understanding of the ESPN+ and Disney+ subscribers, audience behavior and engagement drivers.
Responsibilities
Mine data, perform quantitative analysis and create clear and actionable narratives about our audience, their behaviors, and drivers of retention and engagement.
Partner with colleagues facilitating the design, build and automation of reports / dashboards that provide insight into customer conversion and behavior.
Build intuitive interfaces, infographics, and visualizations to tell stories with data.",1001 to 5000 Employees,2007,Company - Private,Broadcast Media,Media & Communication,$1 to $2 billion (USD)
134,2022 Graduate Fellow Data Science Co-op,Merck,"North Wales, PA","$83,375 /yr (est.)",4.1,"Job Description
New hires in office-based roles in the US & Puerto Rico will be required, subject to applicable law, to demonstrate that they have been fully vaccinated for COVID-19 or qualify for a medical or religious exemption to this vaccination requirement that can be accommodated without an undue burden to the operation. However, subject to applicable law, employees working in roles that the Company determines require routine collaboration with external stakeholders, such as employees in customer facing commercial or research-based roles, will be required to be fully vaccinated as a condition of employment.
The Future Talent Program features Cooperative (Co-op) education that lasts up to 6 months and will include one or more projects. These opportunities in our Human Health Division. can provide you with great development and a chance to see if we are the right company for your long-term goals.



Intern/Co-op (Fixed Term)
Domestic
Yes
4",10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
135,Applied Machine Learning Scientist,Penguin Random House LLC,"New York, NY","$89,037 /yr (est.)",3.9,"Penguin Random House is the leading adult and children's publishing house in North America, the United Kingdom, and many other regions worldwide. In publishing the best books in every genre and subject for all ages, we are committed to quality, excellence in execution, and innovation throughout the entire publishing process: editorial, design, marketing, publicity, sales, production, and distribution. With the proliferation of data and the fast-changing dynamics within the publishing industry, data science and AI tools are vital to our business.

The Data Science team at Penguin Random House is seeking an Applied Machine Learning Scientist. We are an agile team of data scientists and software engineers. Data science at PRH truly runs the gamut, encompassing pricing systems, sales forecasting recommender/personalization systems, title segmentation, supply chain, ad-hoc analysis, and data exploration. The data science team is drawn from various disciplines and backgrounds; the group is well resourced and supported by data warehousing/engineering and DevOps functions.",1001 to 5000 Employees,2013,Company - Private,Publishing,Media & Communication,$1 to $2 billion (USD)
136,data engineer,Capgemini,Remote,"$89,037 /yr (est.)",3.8,"Duration: 4+ Months

Job Description:
Solution Architecture experience using AWS data-related services (EMR/Glue/Lambda) - Minimum required skill is Hadood, HDFS knowledge
Apache Spark architecture, Hive, Performance tuning of Spark application
Java/Scala/Python programming
RDBMS Concepts - experience working in databases required
AWS Redshift, RDS - thorough SQL knowledge required
No-SQL DB (Document DB/Dynamo DB)",10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
137,Business Intelligence Analyst,Google,"Chicago, IL","$89,037 /yr (est.)",4.5,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Chicago, IL, USA; Sunnyvale, CA, USA; Kirkland, WA, USA.
Minimum qualifications:
Bachelor's degree in Computer Science, Software Engineering, or related field, or equivalent practical experience.
Experience in programming and SQL.
Experience with building data infrastructure (e.g., designing architecture, building data pipelines, implementing scalable monitoring) and implementing reporting solutions.

Preferred qualifications:
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
138,Applied Scientist,Microsoft,"Bellevue, WA","$122,679 /yr (est.)",4.4,"Azure Cognitive Services in Bellevue, WA, is hiring an Applied Scientist.

It has never been a more exciting time at the Azure Cognitive Services Division at Cloud & AI! We continue to advance the state of the art in the areas we choose to study, and we impact Microsoft by transferring great research results to products. The Azure Cognitive Services Division is tasked to improve our odds of betting on the “next big thing” and impact various products in the areas of cloud and edge intelligence such as Microsoft Cognitive Services. We work in the general areas of human understanding, environment understanding, and decision intelligence.

This team offers a comprehensive family of AI services and cognitive APIs to help customers build intelligent applications. We are looking for highly motivated and self-driven individuals who are passionate about advancing the state of the art while making business impact.
Responsibilities",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
139,Associate Data Scientist,Spectrum,"Stamford, CT","$122,679 /yr (est.)",3.3,"JOB SUMMARY
Responsible for assisting in the development of data-driven solutions to Charter’s business problems. In partnership with seasoned Data Scientist, utilize analytical, statistical, and programming skills to clean, aggregate, and analyze large data sets and interpret results. Develop a strong command of statistical techniques and machine learning algorithms, as well as a demonstrated practical ability to determine where to invest time, synthesize actionable findings across diverse assignments, and present findings to audiences with diverse agendas and varying levels of technical expertise.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.

Participate in the execution of the complete analytics life-cycle for problem solving, including: requirements gathering, problem formulation, data grooming, data exploration, model prototyping, model validation, and algorithm productionalization.

Survey varied data sources for analytic relevance.

Leverage knowledge in analytical and statistical algorithms to assist in helping stakeholders explore methods to improve their business.

Assist in the design and implementation of statistical data quality procedures for existing and new data sources.

Observe and assist in the communication of complex data science solutions, concepts, and analyses in a clear and effective manner to team members and business leaders.

Establish links across existing data sources and find new, interesting data correlations.

Assist in the presentation of data insights and recommendations to key stakeholders.

Achieve defined project goals within deadline; proactively communicate status and escalate issues as needed.

Helps to ensure testing and validation are components of all analytics solutions.

REQUIRED QUALIFICATIONS
Required Skills/Abilities and Knowledge
Ability to read, write, speak and understand English
Ability to develop interpersonal communication, verbal and written, relationship management, and customer service skills with a focus on working effectively in a team environment
Minimal experience with analytical and statistical software
Minimal experience using a data science toolkit such as Python or R
Basic level SQL skills
Effective analytical and problem solving skills with attention to detail and data accuracy
Ability to perform in-depth research and analysis
Ability to maintain confidentiality and appropriately handle sensitive information
Knowledge of core computer science principles including algorithms, data structures, and design methodologies
Prior exposure to cloud-based infrastructures
Prior exposure to big data tools such as Spark and Hive

Required Education
B.S. in quantitative sciences, including statistics, engineering, computer science, Business with focus on analytics. M.S. in Statistics or Data Science will be highly preferred

Required Related Work Experience and Number of Years
2+ years experience solving business problems through deep analytics and with predictive modeling techniques (with a Bachelor’s Degree) OR,
1+ years experience solving business problems through deep analytics (with a Masters Degree)
Industry experience in Financial services, insurance or actuarial services or medical research perferred but not required

Preferred Related Work Experience and Number of Years
Internship in a role as a data scientist BDA302 314864 314864BR",10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
140,Data Engineer,Ford Motor Company,"Dearborn, MI","$90,230 /yr (est.)",4.1,"Dearborn
Ford Motor Company
GDIA
Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

Crafting the future of inquisitive mobility requires the highly intelligent use of data, metrics and analytics. That’s where you can make an impact as part of our Global Data Insight & Analytics (GDI&A) team. We are the trusted advisers that enable Ford to clearly see business conditions, customer needs and the competitive landscape. With our support, key decision makers can act in meaningful, positive ways. Join us and use your data expertise and analytical skills to drive evidence-based, timely decision making.

The Data Engineer works with internal and external data applications to enable analytical skill teams (Purchasing, Supply Chain, Material Planning & Logistics, and Product Development) to answer key questions pertaining to the business. The role will be responsible for discovering, curating, and managing data sources within the context of GDI&A. This includes:



As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States permanently. Verification of employment eligibility will be required at the time of hire.
Visa sponsorship is available for this position.
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.
https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2022-benefits-and-comp-GSR-sal-plan-2.pdf
At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combating COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption.",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
141,Operations Data Scientist,DispatchHealth,"Denver, CO","$105,000 /yr (est.)",3.1,"Company Description
We are building the world's largest in-home care system.
Healthcare is rapidly moving into the home, creating an enormous market opportunity that's growing daily as consumers increasingly demand more convenient healthcare options.
Technology is the engine that powers our foundation. It ensures we can reach massive scale and drives differentiation from any other healthcare company entering this space. We're using data to ensure patient safety and tailor the care to patients' specific needs which allows for better care delivery from patient onboarding, patient care, and post care follow-up.
DispatchHealth is a Series D startup with more than $400m in funding and a $1B+ valuation. We're backed by Oak, Tiger Global, Alta Partners, Optum Ventures, Questa Capital, ad EchoHealth Ventures.",1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
142,Data Scientist (REMOTE),Foot Locker,"New York, NY","$114,616 /yr (est.)",3.6,"Data Scientist (REMOTE)
Flexible Store Location - New York City
Category
Information Systems & Technology
Foot Locker
Job Type
Regular Full-Time
Job Id 40355
Job available in 7 locations

Overview",10000+ Employees,1974,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD)
143,Analyst,IQVIA,Remote,"$114,616 /yr (est.)",3.9,"Job Overview
Provides high quality, timely development and on-time input to solutions for service delivery, managed services, or implementation oriented client projects. Assignments typically require basic analysis and problem solving with an emphasis on meeting IQVIA services/delivery commitments to clients. Contributes to meeting client satisfaction objectives.
Essential Functions
Assists with the review and analysis of client requirements/problems.
Develops detailed documentation and specifications.
Performs basic quantitative or qualitative analyses to identify issues and develop solutions.
Assists Analysts and Consultants in design and structures of presentations.",10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
144,Data Technology Specialist,Endeavor Business Media,Remote,"$114,616 /yr (est.)",4.1,"The Mission: Endeavor Business Media is a rapidly growing US-based B2B media and events company founded in 2017. Endeavor’s mission is to deliver the highest-quality content in the B2B markets we serve and to do so in the various, multi- channel formats that today’s industry professionals demand. From informative e-newsletters to in-depth monthly magazines to curated in-person events, Endeavor Business Media is committed to providing the best opportunities for professionals to stay knowledgeable and connect with marketplace colleagues that drive their industry forward.
The Team: Endeavor places a high importance on its data-driven core values of accountability, continuous improvement and being passionate about value creation in an environment that maintains minimal politics, directional clarity, high productivity, and low turnover among good people. These values are adopted at all levels of the company across every sphere and give the company its operational advantage. Our departments and operating businesses have autonomy and place a high value on meritocracy, with a commitment to providing individuals with opportunities for growth and development.",501 to 1000 Employees,2017,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable
145,Data Scientist I,Kenco,Remote,"$114,616 /yr (est.)",3.7,"Job Details
Description
About the Position
The Data Scientist I will be involved in advanced supply chain analytics covering both deterministic and stochastic modeling, optimization, and analysis. The position will take business questions, develop model frameworks, identify data sources, extract data, perform quantitative analysis through the model and then develop and communicate insights and/or solution recommendations. The position should be able to incorporate Artificial Intelligence and Machine Learning to develop Predictive and Prescriptive Analytic models for enhanced decision support.",1001 to 5000 Employees,1950,Company - Private,Shipping & Trucking,Transportation & Logistics,$500 million to $1 billion (USD)
146,Data Analyst,Ashfield Engage,Remote,"$114,616 /yr (est.)",3.7,"Ashfield Engage is seeking a data analyst who will support the business by delivering analytics solutions and generating strategic operational insights from a variety of data sources.
The role’s purpose is to be the subject matter expert in ensuring operational excellence through custom analytic solutions.
What’s in it for you?
Competitive compensation
Excellent Benefits – accrued time off, medical, dental, vision, 401k, disability & life insurance, employee discounts/promotions
Generous performance-driven Incentive Compensation package
Competitive environment with company wide recognition, contests and coveted awards
Exceptional company culture",5001 to 10000 Employees,1997,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
147,Data Scientist,Moorecroft Systems,Remote,$45.00 /hr (est.),-1,"The right opportunity to work with one of the largest Media and Entertainment firms using the latest data technologies.
We are looking to hire a seasoned Data Science Engineer with experience working with petabyte size data sets to assist one of our Global Media Company clients. They are leaders in the entertainment and streaming business. This consulting role will continue for multiple years and can done Remotely.
The role will be to work closely with their Data Science and CRM teams to leverage a multitude of Data assets sources to reach impactful and actionable data driven insights. You will lead cross function Sprints, champion best coding practices of Data Science teams, build relationships with business partners.
Core Skills and Experience needed",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
148,Data Scientist,CriticalRiver Inc.,Remote,$45.00 /hr (est.),4.7,"Pay Rates : USD 0-0//
Job Code : CR2073
Data Scientist
CriticalRiver Inc. is a trusted technology consulting company for comprehensive consulting, implementation, and managed services across the globe. The company’s highly experienced consultants are experts at understanding client needs and delivering strategic solutions that leverage the latest technologies and industry best practices.
Job Description:
Identifying the business problem and translating them into successful data science implementations",201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
149,Data Engineer,N9 IT Solutions Inc,Remote,$50.00 /hr (est.),-1,"Job description
We Are Looking Only H1B,CPT And OPT Candidates
Its A W2 Position(Authorized to work anywhere in the USA and Eligible for only who are staying in USA)
Should work on our W2
Long term contract
Strong experience building robust and scalable data processes and pipelines for modeling, analysis, and reporting
Experience with Enterprise Data Warehousing systems including Snowflake and Teradata (or equivalent)",-1,-1,-1,-1,-1,-1
150,"Data Scientist, Spotify For Artists",Spotify,"New York, NY","$106,932 /yr (est.)",4.2,"Data, Research & Insights
Data Science
Spotify for Artists is the destination for artists and their teams to understand their fans and reach their goals. We give artists the insights and tools they need to connect with their fans and establish a meaningful career on their own terms.
Location
New York or Remote Americas
Job type
Permanent",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
